		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 1.156250	M = 600	N = 8	m = 9	n = 4800
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001111101    0    3    3    1    2    0    1    3 12.032862 0.149744 SUCCESS  50
001111111    1    0    0    1    2    0    2    1  4.861414 0.772281 SUCCESS  51
010000011    0    0    2    1    4    1    1    0 11.370882 0.181557 SUCCESS  52
010000111    0    2    1    0    1    2    3    0  7.840323 0.449221 SUCCESS  53
010001011    0    0    0    1    1    0    1    1  4.806249 0.778070 SUCCESS  54
010001111    0    4    0    2    0    0    2    1 13.136162 0.107250 SUCCESS  55
010010011    1    2    2    4    1    0    0    0 11.977697 0.152202 SUCCESS  56
010010111    1    5    2    0    1    1    4    5 35.091825 0.000026 FAILURE  57
010011011    1    3    0    3    3    4    1    1 17.383865 0.026351 SUCCESS  58
010011111    1    1    1    1    3    1    0    2  4.916579 0.766454 SUCCESS  59
010100011    0    3    2    2    1    0    3    1  9.660768 0.289647 SUCCESS  60
010100111    0    0    1    0    2    2    2    1  5.468229 0.706557 SUCCESS  61
010101011    0    4    0    0    1    1    1    3 13.742976 0.088716 SUCCESS  62
010101111    0    3    1    0    1    0    0    3 10.764067 0.215429 SUCCESS  63
010110011    1    0    2    2    0    2    0    2  6.075044 0.638826 SUCCESS  64
010110111    1    2    2    1    3    1    1    0  5.523394 0.700447 SUCCESS  65
010111011    3    3    0    0    0    0    2    1 11.370882 0.181557 SUCCESS  66
010111111    0    3    4    0    2    2    1    1 13.798141 0.087181 SUCCESS  67
011000111    0    1    0    1    0    3    1    2  7.233508 0.511661 SUCCESS  68
011001111    0    1    3    1    0    3    1    1  8.447138 0.391054 SUCCESS  69
011010111    0    1    0    0    1    1    2    0  5.413064 0.712652 SUCCESS  70
011011111    1    1    3    3    2    0    1    0  9.053953 0.337765 SUCCESS  71
011101111    2    3    0    0    0    1    2    0  8.998788 0.342398 SUCCESS  72
011111111    1    2    0    1    1    1    1    1  1.937670 0.982863 SUCCESS  73
100000000    4    2    0    0    1    1    1    1 10.212418 0.250432 SUCCESS  74
100010000    3    0    3    1    2    2    1    0  9.660768 0.289647 SUCCESS  75
100100000    1    1    1    0    1    0    0    0  4.806249 0.778070 SUCCESS  76
100101000    1    3    0    1    2    0    1    1  6.075044 0.638826 SUCCESS  77
100110000    4    0    2    5    1    1    0    2 23.838168 0.002439 FAILURE  78
100111000    1    1    1    2    1    0    2    1  2.544485 0.959624 SUCCESS  79
101000000    2    0    0    0    3    1    1    0  8.391973 0.396147 SUCCESS  80
101000100    2    0    1    2    0    3    2    1  7.288673 0.505831 SUCCESS  81
101001000    0    0    1    1    2    0    0    1  5.413064 0.712652 SUCCESS  82
101001100    0    1    2    3    1    1    1    2  5.523394 0.700447 SUCCESS  83
101010000    1    2    2    2    3    0    1    1  6.130209 0.632649 SUCCESS  84
101010100    1    1    1    3    2    1    2    1  4.364929 0.822789 SUCCESS  85
101011000    0    1    0    2    1    2    0    2  5.468229 0.706557 SUCCESS  86
101011100    2    0    1    0    0    2    2    2  6.075044 0.638826 SUCCESS  87
101100000    3    1    0    0    2    0    2    0  8.998788 0.342398 SUCCESS  88
101100100    2    2    1    0    1    0    0    1  4.861414 0.772281 SUCCESS  89
101101000    1    0    0    0    0    1    0    0  7.123178 0.523403 SUCCESS  90
101101100    0    1    0    2    1    2    1    2  4.309764 0.828150 SUCCESS  91
101110000    0    0    0    1    1    3    0    2  8.391973 0.396147 SUCCESS  92
101110100    0    0    1    0    0    0    2    2  7.178343 0.517519 SUCCESS  93
101111000    2    1    2    1    2    1    1    1  1.992835 0.981231 SUCCESS  94
101111100    1    0    0    1    3    0    0    0  8.943623 0.347074 SUCCESS  95
110000000    1    2    1    1    0    1    0    1  3.096135 0.928180 SUCCESS  96
110000010    3    1    1    4    0    1    0    0 13.742976 0.088716 SUCCESS  97
110000100    1    0    0    3    1    0    0    2  8.391973 0.396147 SUCCESS  98
110001000    1    0    3    1    3    2    1    2  8.502303 0.386001 SUCCESS  99
110001010    2    0    1    1    3    2    0    1  6.681859 0.571314 SUCCESS 100
110010000    3    1    0    0    1    0    2    0  8.391973 0.396147 SUCCESS 101
110010010    2    2    1    0    1    0    1    1  3.702949 0.882881 SUCCESS 102
110010100    0    2    0    3    2    3    0    2 11.426047 0.178707 SUCCESS 103
110011000    3    0    1    3    4    1    0    2 16.170236 0.040007 SUCCESS 104
110011010    2    1    0    0    3    0    3    2 10.819232 0.212154 SUCCESS 105
110100000    3    0    0    0    2    1    1    1  7.233508 0.511661 SUCCESS 106
110100010    2    1    0    1    0    2    4    2 11.426047 0.178707 SUCCESS 107
110100100    1    1    2    3    1    0    0    0  7.233508 0.511661 SUCCESS 108
110101000    1    1    3    1    2    0    1    1  4.916579 0.766454 SUCCESS 109
110101010    1    3    1    1    2    1    2    2  4.971744 0.760592 SUCCESS 110
110101100    0    1    1    1    0    2    0    3  7.233508 0.511661 SUCCESS 111
110110000    2    1    2    0    2    0    2    2  5.523394 0.700447 SUCCESS 112
110110010    1    1    0    2    1    1    1    1  1.937670 0.982863 SUCCESS 113
110110100    2    1    1    1    0    0    0    1  4.254599 0.833453 SUCCESS 114
110111000    0    0    1    1    0    5    0    2 18.432000 0.018211 SUCCESS 115
110111010    0    0    0    0    1    0    2    2  7.178343 0.517519 SUCCESS 116
